firstname,sexe,occurrences
marie,2,3734360
jean,1,2059124
louis,1,1245738
jeanne,2,1141740
pierre,1,1108371
joseph,1,1086904
louise,2,1069918
andre,1,1012213
marie,1,953076
henri,1,899254
marcel,1,845588
rene,1,799654
georges,1,697765
paul,1,655313
francois,1,630502
marguerite,2,620388
michel,1,575798
maurice,1,555992
madeleine,2,552547
roger,1,535892
robert,1,526871
emile,1,495439
charles,1,473313
albert,1,464969
jacques,1,463089
therese,2,447393
marcelle,2,443693
germaine,2,431208
lucien,1,424918
claude,1,424414
yvonne,2,420389
suzanne,2,414739
henriette,2,414677
eugene,1,411905
raymond,1,406332
josephine,2,397438
renee,2,374169
francoise,2,368136
leon,1,356269
auguste,1,354801
andree,2,354743
bernard,1,337988
eugenie,2,337814
georgette,2,317914
maria,2,307637
helene,2,288747
anne,2,284839
lucienne,2,284037
denise,2,283048
jules,1,278199
antoine,1,268558
jacqueline,2,262557
fernand,1,257694
antoinette,2,256814
paulette,2,256686
marthe,2,255787
augustine,2,254359
simone,2,240347
daniel,1,238744
raymonde,2,236992
gerard,1,236522
alice,2,233724
juliette,2,232246
yves,1,224699
odette,2,223467
victor,1,220107
marius,1,218639
gaston,1,206100
rose,2,202585
berthe,2,200680
guy,1,199107
alain,1,198481
gabrielle,2,197987
gabriel,1,196237
lucie,2,195820
fernande,2,193061
alfred,1,184944
christian,1,179531
julien,1,178975
gilbert,1,176998
ernest,1,175347
yvette,2,172845
jeannine,2,172670
monique,2,170815
genevieve,2,162637
angele,2,157596
philippe,1,156066
alphonse,1,152635
alexandre,1,152337
catherine,2,148238
edouard,1,146641
anna,2,145752
charlotte,2,143859
emilienne,2,139008
camille,1,133318
christiane,2,132058
elise,2,129936
leonie,2,129332
francis,1,128830
simonne,2,128201
marc,1,127186
edmond,1,125300
baptiste,1,122084
roland,1,121253
armand,1,119743
albertine,2,118465
pierrette,2,118134
cecile,2,116533
elisabeth,2,116405
serge,1,116213
gustave,1,113736
emilie,2,113509
blanche,2,107132
etienne,1,106948
paule,2,104001
josette,2,103859
adrien,1,102925
pauline,2,101338
felix,1,100963
bernadette,2,98971
gisele,2,97898
leontine,2,97800
patrick,1,97394
victorine,2,96908
adrienne,2,96747
colette,2,96715
nicole,2,96372
julienne,2,95696
claire,2,94208
ginette,2,93679
desire,1,93220
marie-louise,2,92889
elie,1,92395
dominique,1,91812
aime,1,91145
mathilde,2,89615
germain,1,89417
julie,2,88012
josephe,2,87968
jean-pierre,1,87910
micheline,2,87755
ernestine,2,86627
denis,1,86121
clement,1,86095
irene,2,84774
francine,2,83767
solange,2,83091
gilberte,2,82614
laurent,1,82345
alphonsine,2,81298
jean-claude,1,80379
noel,1,78223
aimee,2,76136
camille,2,74810
frederic,1,74561
aline,2,74075
amelie,2,72821
pascal,1,72742
arthur,1,71425
isabelle,2,70554
lea,2,68625
joseph,2,68608
claudine,2,67735
huguette,2,67295
mauricette,2,67259
marie-therese,2,66457
augustin,1,66255
clemence,2,64948
julia,2,64929
rosalie,2,62170
alexandrine,2,61925
eliane,2,61638
nicolas,1,60709
michelle,2,60142
augusta,2,60097
hubert,1,59870
adolphe,1,59343
raoul,1,58869
adele,2,58574
lucette,2,57737
emma,2,57377
michele,2,57090
celine,2,56320
mireille,2,56141
jean-marie,1,55349
didier,1,54680
vincent,1,54496
martine,2,53445
jose,1,53259
emmanuel,1,52884
reine,2,52846
agnes,2,52086
felicie,2,51645
constant,1,50928
liliane,2,50572
clementine,2,50490
leone,2,50404
valentine,2,50082
philomene,2,49486
janine,2,49033
alexis,1,49002
claude,2,48534
melanie,2,48506
annie,2,48451
sophie,2,48335
joel,1,47548
gilles,1,47360
danielle,2,47146
odile,2,46900
ferdinand,1,46585
bruno,1,46219
eric,1,45876
celestine,2,45701
christine,2,45630
yvon,1,45200
virginie,2,45141
chantal,2,44577
sylvie,2,44277
olivier,1,44198
arlette,2,44139
rolande,2,43923
desiree,2,43501
celestin,1,43240
abel,1,43000
simon,1,42959
christophe,1,42738
thierry,1,42574
laure,2,42380
clotilde,2,41882
rosa,2,41545
laurence,2,41210
xavier,1,40565
josiane,2,39036
maxime,1,38210
herve,1,38060
anne-marie,2,38006
olga,2,37864
andrea,2,37807
stephane,1,37612
guillaume,1,37235
sylvain,1,36795
jeanine,2,36688
france,2,36345
irma,2,36007
elisa,2,35824
david,1,34741
nathalie,2,34527
brigitte,2,33863
antonio,1,33854
carmen,2,33777
manuel,1,33759
annick,2,33399
remy,1,33390
yolande,2,32935
antonin,1,32924
ange,1,32818
dominique,2,32364
leopold,1,32351
mohamed,1,32248
octave,1,32075
